﻿1171230204047333883	,1999	,3	,666.33333333333	,1999"	
﻿1180101020739237470	,1999	,3	,666.33333333333	,1999"	
﻿1180101134706598818	,1999	,3	,666.33333333333	,1999"	
﻿1180104185544555015	,1789	,3	,596.33333333333	,1789"	
﻿1180106104717668618	,2000	,3	,666.66666666667	,2000"	
﻿1180106162057213922	,1789	,3	,596.33333333333	,1789"	
﻿1180104170755297050	,1488	,2	,744	,1488"	
﻿1171230174013388843	,1999	,7	,285.57142857143	,1999"	
﻿1171230175040052522	,1999	,7	,285.57142857143	,1999"	
﻿1180105141014832562	,1999	,7	,285.57142857143	,1999"	
﻿1171231204609078916	,1990	,3	,663.33333333333	,1990"	
﻿1180103150852269323	,1999	,7	,285.57142857143	,1999"	
﻿1180104161827774400	,1999	,7	,285.57142857143	,1999"	
﻿1180107151723636633	,1789	,3	,596.33333333333	,1789"	
﻿1180102162951192382	,3399	,9	,377.66666666667	,3399"	
﻿1171229021259069055	,1990	,3	,663.33333333333	,1990"	
﻿1171229092054822732	,1990	,3	,663.33333333333	,1990"	
﻿1171229112922558111	,1990	,3	,663.33333333333	,1990"	
﻿1171229140822559871	,1990	,3	,663.33333333333	,1990"	
﻿1171230013642562972	,1990	,3	,663.33333333333	,1990"	
﻿1180102210343180097	,1990	,3	,663.33333333333	,1990"	
﻿1171229101541818699	,1990	,3	,663.33333333333	,1990"	
﻿1171229114846743390	,1990	,3	,663.33333333333	,1990"	
﻿1180103134553711836	,1990	,3	,663.33333333333	,1990"	
﻿1180103153239561830	,1990	,3	,663.33333333333	,1990"	
﻿1180103155558347229	,1990	,3	,663.33333333333	,1990"	
﻿1180103175358008228	,1990	,3	,663.33333333333	,1990"	
﻿1180103203356501186	,1990	,3	,663.33333333333	,1990"	
﻿1180103211115722088	,1990	,3	,663.33333333333	,1990"	
﻿1180103213715520222	,1990	,3	,663.33333333333	,1990"	
﻿1180103231202409628	,1990	,3	,663.33333333333	,1990"	
﻿1180104061110379762	,1990	,3	,663.33333333333	,1990"	
﻿1180104083744577374	,1990	,3	,663.33333333333	,1990"	
﻿1180104091133328088	,1990	,3	,663.33333333333	,1990"	
﻿1180104094416266610	,1990	,3	,663.33333333333	,1990"	
﻿1180104095337456529	,1990	,3	,663.33333333333	,1990"	
﻿1180104100939540838	,1990	,3	,663.33333333333	,1990"	
﻿1180104104828176830	,1990	,3	,663.33333333333	,1990"	
﻿1180104114343196688	,1990	,3	,663.33333333333	,1990"	
﻿1180104103740373371	,1990	,3	,663.33333333333	,1990"	
﻿1180104124409435205	,1990	,3	,663.33333333333	,1990"	
﻿1180104144217457589	,1990	,3	,663.33333333333	,1990"	
﻿1180104151915546066	,1990	,3	,663.33333333333	,1990"	
﻿1180104153730141580	,1990	,3	,663.33333333333	,1990"	
﻿1180104170428878666	,1990	,3	,663.33333333333	,1990"	
﻿1180104210311678167	,1990	,3	,663.33333333333	,1990"	
﻿1180105063926143000	,1990	,3	,663.33333333333	,1990"	
﻿1180106091556981189	,1990	,3	,663.33333333333	,1990"	
﻿1180108120638243289	,1789	,3	,596.33333333333	,1789"	
﻿1180105115641906984	,2999	,3	,999.66666666667	,2999"	
﻿1171229170648628940	,1990	,3	,663.33333333333	,1990"	
﻿1180101210952730303	,1990	,3	,663.33333333333	,1990"	
﻿1180103180837689668	,1990	,3	,663.33333333333	,1990"	
﻿1180103192757153368	,1990	,3	,663.33333333333	,1990"	
﻿1180103230700769712	,1990	,3	,663.33333333333	,1990"	
﻿1180104160926061019	,1990	,3	,663.33333333333	,1990"	
﻿1180104183717163329	,1990	,3	,663.33333333333	,1990"	
﻿1171231155835493252	,1990	,3	,663.33333333333	,1990"	
﻿1180103153820638224	,1990	,3	,663.33333333333	,1990"	
﻿1180108172041502862	,990	,2	,495	,990"	
﻿1180106142358069336	,1199	,3	,399.66666666667	,1199"	
